Component Name;Component Type;Use;Option 1;Link 1;JLC #;Option 2;Link 2;Spec
CAN Transceiver;User Input;Parameter Control;TBD-POT1;#;;TBD-POT2;#;"10-100kÎ©; 1% linearity; Metal shaft; >10k cycle life"
Crystal Oscillator;Status Indicator;User Feedback;TBD-LED1;#;;TBD-LED2;#;"3mm or 5mm; 5mA operation; Various colors; 120Â° viewing angle"
Potentiometer;User Input;Control Selection;TBD-SW1;#;;TBD-SW2;#;"Tactile feedback; 100k cycle life; 150-250gf operating force"
LED;Protection;I/O Protection;TBD-TVS1;#;;TBD-TVS2;#;"Low capacitance; Fast response; Appropriate voltage rating"
Tactile Switch;Connector;Power & Data Input;TBD-USBC1;#;;TBD-USBC2;#;"USB 2.0 compatible; Through-hole mounting; 5A current rating; Shielded"
TVS Diode;Connector;Signal Output;TBD-BNC1;#;;TBD-BNC2;#;"50Î© impedance; Panel mount; Gold plated; DC-1GHz bandwidth"
USB-C Connector;Connector;Battery Connection;TBD-BATCON1;#;;TBD-BATCON2;#;"JST-PH or similar; 2A rating; Polarized; Locking"
BNC Connector;Connector;Programming/Debug;TBD-DBG1;#;;TBD-DBG2;#;"SWD compatible; 2x5 1.27mm pitch; Keyed"
Battery Connector;Connector;CAN Bus;TBD-CANCON1;#;;TBD-CANCON2;#;"4-pin locking; Polarized; 2A rating"
Debug Connector;Storage;Waveform Storage;TBD-FLASH1;#;;TBD-FLASH2;#;"32Mbit minimum; SPI interface; >10MHz clock"
CAN Connector;Protection;Battery Safety;TBD-BPROT1;#;;TBD-BPROT2;#;"Overcurrent; Overvoltage; Temperature protection"
Flash Memory;EMI Suppression;Power Filtering;TBD-FB1;#;;TBD-FB2;#;"600Î© @ 100MHz; 1.5A rating"
Battery Protection;Passive;Power Decoupling;TBD-CAP1;#;;TBD-CAP2;#;"0.1ÂµF & 10ÂµF X5R/X7R; Low ESR"
Ferrite Bead;Passive;Power Filtering;TBD-IND1;#;;TBD-IND2;#;"10ÂµH; Low DCR; >1A rating"
Bypass Capacitors;Passive;Current Monitoring;TBD-RSENSE1;#;;TBD-RSENSE2;#;"0.05Î©; 1%; 0.5W"
Power Inductors;Sensor;Thermal Monitoring;TBD-TEMP1;#;;TBD-TEMP2;#;"Â±1Â°C accuracy; I2C interface"
Current Sense Resistor;Passive;LED Control;TBD-RLED1;#;;TBD-RLED2;#;"Appropriate value for 5mA; 1%"
Temperature Sensor;Protection;Interface Protection;TBD-ESD1;#;;TBD-ESD2;#;"Low capacitance; USB compatible"
LED Current Limiting Resistors;Power Source;Portable Power;TBD-BAT1;#;;TBD-BAT2;#;"Li-Ion 3.7V; >2000mAh; With protection"
ESD Protection Array;Mechanical;Housing;TBD-ENC1;#;;TBD-ENC2;#;"Suitable size; Ventilation; Panel mount support"
Battery;Mechanical;Potentiometer Control;TBD-KNOB1;#;;TBD-KNOB2;#;"Metal shaft compatible; Indicator line"
Enclosure;Thermal;Amplifier Cooling;TBD-HS1;#;;TBD-HS2;#;"Appropriate size; Low thermal resistance"
Knobs;;;;;;;;
Heat Sink;;;;;;;;
